Identifier ,objectid,object_location,,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
nelsondaymin_1901_longest_cable_in_the_word_pg1col5para6,jr-np-s_017,/objects/nelsondaymin_1901_longest_cable_in_the_word_pg1col5para6.pdf,Laying Pacific Cable,Nelson Daily Miner,Nelson Daily Miner,1901,,application/pdf,news article,pdf,Settlement; Cable,,/objects/small/nelsondaymin_1901_longest_cable_in_the_word_pg1col5para6_sm.jpg,/objects/thumbs/nelsondaymin_1901_longest_cable_in_the_word_pg1col5para6_th.jpg,
new_west_1906_1_2_4,jr-np-s_018,/objects/new_west_1906_1_2_4.pdf,Heavy Seas Interfere With Building of Traps,The Daily News ,The Daily News,1906-05-22,,application/pdf,news article,pdf,Settlement; Traps; Fishing,,/objects/small/new_west_1906_1_2_4_sm.jpg,/objects/thumbs/new_west_1906_1_2_4_th.jpg,
nnmo_daytele_1894_body_in_surf_at_lost_river_pg2col1para7,jr-np-s_019,/objects/nnmo_daytele_1894_body_in_surf_at_lost_river_pg2col1para7.pdf,Wrecked Lumber Schooner,The Daily Telegram,The Daily Telegram,1894-01-23,,application/pdf,news article,pdf,Settlement; Shipwreck,,/objects/small/nnmo_daytele_1894_body_in_surf_at_lost_river_pg2col1para7_sm.jpg,/objects/thumbs/nnmo_daytele_1894_body_in_surf_at_lost_river_pg2col1para7_th.jpg,
the_victoria_daily_times_1923_09_29_17_rambles_around_victoria,jr-np-s_021,/objects/the_victoria_daily_times_1923_09_29_17_rambles_around_victoria.pdf,Rambled Round Victoria,The Victoria Daily Times,The Victoria Daily Times,1923-09-29,,application/pdf,news article,pdf,Settlement,,/objects/small/the_victoria_daily_times_1923_09_29_17_rambles_around_victoria_sm.jpg,/objects/thumbs/the_victoria_daily_times_1923_09_29_17_rambles_around_victoria_th.jpg,
times_colonist_fri_feb_28_1975,jr-np-s_022,/objects/times_colonist_fri_feb_28_1975.pdf,Bullets in Shoulder Only the Beginning of Hr Nightmare,Derek Sidenius ,Times Colonist,1975-02-28,,application/pdf,news article,pdf,Settlement,,/objects/small/times_colonist_fri_feb_28_1975_sm.jpg,/objects/thumbs/times_colonist_fri_feb_28_1975_th.jpg,
final_jordan_solar_initial_project_description_and_early_engagement_plan_19dec23_deva,jr-np-s-solar_001,/objects/final_jordan_solar_initial_project_description_and_early_engagement_plan_19dec23_deva.pdf,Jordan Solar and Energy Storage,,iMapBC,,,application/pdf,news article,pdf,Settlement; Solar; Map; Energy Storage,,/objects/small/final_jordan_solar_initial_project_description_and_early_engagement_plan_19dec23_deva_sm.jpg,/objects/thumbs/final_jordan_solar_initial_project_description_and_early_engagement_plan_19dec23_deva_th.jpg,
jordan_solar_location,jr-np-s-solar_002,/objects/jordan_solar_location.pdf,Jordan Solar and Energy Storage Project,,Recurrent Energy,2023-12,,application/pdf,news article,pdf,Settlement; Solar; Energy Storage,,/objects/small/jordan_solar_location_sm.jpg,/objects/thumbs/jordan_solar_location_th.jpg,
,,,,,,,,,,,,,,,
1975_vancouver_jan_4_save_estuaries_and_you_save_people_from_starving,jr-np-ra_002,/objects/1975_vancouver_jan_4_save_estuaries_and_you_save_people_from_starving.pdf,Save Estuaries and you save people from starving,Moira Farrow,The Vancouver Sun,1975-1-4,,application/pdf,news article,pdf,Estuaries; Ecology; Logging; Hydroelectric; Mining,,/objects/small/1975_vancouver_jan_4_save_estuaries_and_you_save_people_from_starving_sm.jpg,/objects/thumbs/1975_vancouver_jan_4_save_estuaries_and_you_save_people_from_starving_th.jpg,
barkham_2021_should_rivers_have_the_same_rights_as_people_in_guardian,jr-np-ra-other_001,/objects/barkham_2021_should_rivers_have_the_same_rights_as_people_in_guardian.pdf,"Should rivers have the same rights as
people?",Patrick Barkham,The Guardian,2021-07-25,,application/pdf,news article,pdf,Ecology; Environmentalism; Hydrology; Indigenous Peoples,,/objects/small/barkham_2021_should_rivers_have_the_same_rights_as_people_in_guardian_sm.jpg,/objects/thumbs/barkham_2021_should_rivers_have_the_same_rights_as_people_in_guardian_th.jpg,
casselman_2_15_who_is_watching_bcs_environmental_watch_dogs_in_bcbusiness,jr-np-ra-other_002,/objects/casselman_2_15_who_is_watching_bcs_environmental_watch_dogs_in_bcbusiness.pdf,Who is watching B.C.'s environmental watch dogs?,Anne Casselman,BCBusiness,2015-07-14,,application/pdf,news article,pdf,Compromised Environmentalism; Ecology,,/objects/small/casselman_2_15_who_is_watching_bcs_environmental_watch_dogs_in_bcbusiness_sm.jpg,/objects/thumbs/casselman_2_15_who_is_watching_bcs_environmental_watch_dogs_in_bcbusiness_th.jpg,
khatibi_2021_discoverarticle_can_public_awareness_knowledge,jr-np-ra-other_003,/objects/khatibi_2021_discoverarticle_can_public_awareness_knowledge.pdf,"Can public awareness, knowledge and engagement improve climate change adaptation policies?",Farzaneh Shaikh Khatibi; Aysin Dedekorkut‑Howes; Michael Howes; Elnaz Torabi,Discover Sustainability,2021-02-25,,application/pdf,news article,pdf,Public involvement; Citizen participation; Local and traditional knowledge,,/objects/small/khatibi_2021_discoverarticle_can_public_awareness_knowledge_sm.jpg,/objects/thumbs/khatibi_2021_discoverarticle_can_public_awareness_knowledge_th.jpg,
nunn_2023_repair_and_the_2014_mount_polley_mine_disaster,jr-np-ra-other_004,/objects/nunn_2023_repair_and_the_2014_mount_polley_mine_disaster.pdf,"Repair and the 2014 Mount Polley Mine disaster: Anti Relationality, constraint, and legacies of socio-ecological disruption in settler colonial British Columbia",Neil Nunn,Society and Space,2023,,application/pdf,news article,pdf,Mount Polley Mine disaster; anti relationality; environmental justice; reparative planning; BC gold rush; settler colonialism; colonial modernity; 1862 smallpox epidemic,,/objects/small/nunn_2023_repair_and_the_2014_mount_polley_mine_disaster_sm.jpg,/objects/thumbs/nunn_2023_repair_and_the_2014_mount_polley_mine_disaster_th.jpg,
obrien_1993_being_a_scientists_means_taking_sides,jr-np-ra-other_005,/objects/obrien_1993_being_a_scientists_means_taking_sides.pdf,Being a Scientist Means Taking Sides,Mary H. O'Brien,BioScience,1993,,application/pdf,news article,pdf,Science; Politics; Public Interest;,,/objects/small/obrien_1993_being_a_scientists_means_taking_sides_sm.jpg,/objects/thumbs/obrien_1993_being_a_scientists_means_taking_sides_th.jpg,
,,,,,,,,,,,,,/objects/small/_sm.jpg,/objects/thumbs/_th.jpg,
davis_2017_jordan_river_restoration_bringing_back_the_habitat_bc_outdoors,jr-np-ra-jr_001,/objects/davis_2017_jordan_river_restoration_bringing_back_the_habitat_bc_outdoors.pdf,Jordan River Restoration,Thom Davis,BC Outdoors,2017-06-08,,application/pdf,news article,pdf,Hydroelectric; Mining; Logging; Restoration; Salmon; Indigenous Community,,/objects/small/davis_2017_jordan_river_restoration_bringing_back_the_habitat_bc_outdoors_sm.jpg,/objects/thumbs/davis_2017_jordan_river_restoration_bringing_back_the_habitat_bc_outdoors_th.jpg,
hoffman_2017_a_tale_of_two_rivers_science_borealis,jr-np-ra-jr_002,/objects/hoffman_2017_a_tale_of_two_rivers_science_borealis.pdf,A tale of two rivers,KIm Hoffman,Science Borealis,2017-02-13,,application/pdf,news article,pdf,Hydroelectric; Mining; Logging; Restoration; Salmon; Indigenous Community; Glines Canyon Dam,,/objects/small/hoffman_2017_a_tale_of_two_rivers_science_borealis_sm.jpg,/objects/thumbs/hoffman_2017_a_tale_of_two_rivers_science_borealis_th.jpg,
